MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366972280,2022-03-31T00:00:04,29.77964,-95.09884,0.0,258.1,511.0,JOEY DEVALL,,WYB7063,31,0,18,7,,31,A
368220140,2022-03-31T00:00:07,18.34024,-64.79517,0.1,360.0,511.0,LECHOIX,IMO0000000,1318668,36,,0,0,,,B
368132890,2022-03-31T00:00:07,28.40915,-80.66608,0.0,302.3,101.0,BAYOU BANDIT,IMO739103200,WDL4590,0,0,0,0,3.0,0,A
368098250,2022-03-31T00:00:08,25.75557,-80.18413,6.5,351.7,511.0,ABBE OF MY EYE,IMO0000000,WDK8869,37,,13,4,,,B
367438530,2022-03-31T00:00:01,29.71237,-93.16237,9.6,111.6,511.0,CAPT PEYTON P,IMO9593050,WDF3321,60,0,44,9,,60,A
366999521,2022-03-31T00:00:02,38.58757,-90.20843,0.0,212.6,511.0,CG CHENA,,NAMM,90,0,22,6,,55,A
338073736,2022-03-31T00:00:04,24.55644,-81.80798,0.0,360.0,511.0,MISCELLANEOUS,IMO0000000,,37,,21,6,,,B
367482310,2022-03-31T00:00:04,18.00574,-66.76510,0.1,232.9,511.0,DON OSCAR P,IMO7621839,WDF7223,31,0,30,9,3.0,52,A
367543860,2022-03-31T00:00:04,40.49733,-80.07156,0.0,308.5,41.0,GEORGETOWN,IMO7202413,WDG5154,31,12,25,9,,57,A
316029864,2022-03-31T00:00:05,49.16322,-122.99342,0.0,360.0,511.0,MALAHAT II,IMO0000000,,30,,13,5,,,B
